2020-12-13 18:15:00,12.95290000,12.95790000,12.92100000,12.95170000,21456.15000000,1607876159999,277731.50230500,391,7094.53000000,91819.34253000
2020-12-13 18:16:00,12.95370000,12.98790000,12.93970000,12.98470000,12237.86000000,1607876219999,158625.24020700,406,8639.03000000,111996.30412800
2020-12-13 18:17:00,12.98690000,13.00000000,12.97360000,12.99780000,26601.94000000,1607876279999,345601.50025900,602,17637.75000000,229184.88756400
2020-12-13 18:18:00,12.98710000,12.99770000,12.98320000,12.98480000,7324.79000000,1607876339999,95135.31026400,184,3410.83000000,44304.37272000
2020-12-13 18:19:00,12.98390000,12.98790000,12.95380000,12.97050000,15675.01000000,1607876399999,203378.24480300,333,5953.75000000,77258.16980100
2020-12-13 18:20:00,12.96960000,12.97190000,12.94070000,12.96110000,12954.69000000,1607876459999,167895.35330500,360,3966.16000000,51410.72566400
2020-12-13 18:21:00,12.95830000,13.06820000,12.95190000,13.04730000,54886.36000000,1607876519999,713809.47352200,1190,43203.17000000,561772.53787600
2020-12-13 18:22:00,13.04480000,13.14310000,13.01430000,13.11970000,40934.43000000,1607876579999,536191.21580000,1157,28489.77000000,373211.45731200
2020-12-13 18:23:00,13.12160000,13.25000000,13.11590000,13.23610000,55816.43000000,1607876639999,735735.63222700,1486,30897.58000000,407341.43254000
2020-12-13 18:24:00,13.24030000,13.26970000,13.14420000,13.17300000,50090.53000000,1607876699999,661539.31504200,1232,15994.94000000,211130.82974600
2020-12-13 18:25:00,13.18270000,13.18330000,13.12900000,13.15790000,16213.52000000,1607876759999,213400.93578800,484,7832.10000000,103094.58630600
2020-12-13 18:26:00,13.15340000,13.16230000,13.10480000,13.12730000,20058.50000000,1607876819999,263556.29816400,455,9918.06000000,130367.27595100
2020-12-13 18:27:00,13.12640000,13.16000000,13.11820000,13.14760000,13787.12000000,1607876879999,181273.53591500,212,9409.69000000,123700.68349200
2020-12-13 18:28:00,13.14580000,13.14620000,13.12010000,13.14260000,14456.66000000,1607876939999,189891.44429900,335,6002.40000000,78857.31985400
2020-12-13 18:29:00,13.14250000,13.15170000,13.11100000,13.15040000,9123.92000000,1607876999999,119842.96357500,245,4056.85000000,53305.85053300
2020-12-13 18:30:00,13.14850000,13.15000000,13.12770000,13.13990000,14385.38000000,1607877059999,189046.18105500,315,10997.03000000,144529.75360200
2020-12-13 18:31:00,13.13990000,13.13990000,13.07920000,13.10490000,26692.05000000,1607877119999,349695.57624000,513,10658.28000000,139591.95041800
2020-12-13 18:32:00,13.10360000,13.12140000,13.07630000,13.09590000,18384.16000000,1607877179999,240828.76388600,365,7818.66000000,102437.90380700
2020-12-13 18:33:00,13.09950000,13.11550000,13.08710000,13.10780000,11936.66000000,1607877239999,156375.42547100,244,7638.88000000,100077.55050700
2020-12-13 18:34:00,13.11300000,13.11390000,13.09060000,13.10220000,4263.26000000,1607877299999,55871.38659100,116,1548.14000000,20287.24269900
2020-12-13 18:35:00,13.10330000,13.14070000,13.10220000,13.10250000,10872.34000000,1607877359999,142670.72619600,207,5071.69000000,66556.06629500
2020-12-13 18:36:00,13.10220000,13.12000000,13.09460000,13.11340000,12258.16000000,1607877419999,160691.94477500,146,9504.38000000,124588.09591700
2020-12-13 18:37:00,13.11680000,13.11680000,13.10000000,13.10520000,3196.16000000,1607877479999,41878.34242100,73,605.06000000,7930.21631400
2020-12-13 18:38:00,13.10230000,13.10420000,13.09000000,13.09820000,9141.15000000,1607877539999,119713.68685400,127,2319.93000000,30380.28715000
2020-12-13 18:39:00,13.10070000,13.11330000,13.09680000,13.10720000,3212.04000000,1607877599999,42090.73978200,92,1880.50000000,24642.92951000
2020-12-13 18:40:00,13.10570000,13.10570000,13.09000000,13.09190000,3273.57000000,1607877659999,42871.09039000,100,1260.17000000,16506.29426700
2020-12-13 18:41:00,13.09070000,13.11180000,13.08050000,13.10830000,7720.43000000,1607877719999,101078.76003400,145,4568.21000000,59820.95557900
2020-12-13 18:42:00,13.10730000,13.14180000,13.10400000,13.12350000,21398.37000000,1607877779999,280940.74860400,310,6338.74000000,83218.68547700
2020-12-13 18:43:00,13.12430000,13.12490000,13.10010000,13.10420000,3336.65000000,1607877839999,43753.97487600,86,1787.91000000,23449.13731700
2020-12-13 18:44:00,13.10040000,13.10040000,13.08840000,13.09300000,5557.64000000,1607877899999,72763.31363200,94,1980.19000000,25927.19332500
2020-12-13 18:45:00,13.11480000,13.13370000,13.11430000,13.13100000,3200.90000000,1607877959999,42014.67098900,83,2129.33000000,27948.82075900
2020-12-13 18:46:00,13.10340000,13.10490000,13.06760000,13.06760000,3513.06000000,1607878019999,45950.36721500,109,452.38000000,5926.65648700
2020-12-13 18:47:00,13.08500000,13.08500000,13.06550000,13.07320000,1181.25000000,1607878079999,15445.91393300,43,101.12000000,1322.22731800
2020-12-13 18:48:00,13.09140000,13.09270000,13.06840000,13.07050000,557.04000000,1607878139999,7286.70969700,26,20.26000000,264.79967700
2020-12-13 18:49:00,13.06700000,13.06980000,13.02530000,13.04800000,7949.06000000,1607878199999,103663.47470900,238,2245.15000000,29273.02692500
2020-12-13 18:50:00,13.04240000,13.04510000,13.02930000,13.03650000,3331.62000000,1607878259999,43436.84463900,69,847.97000000,11052.09756400
2020-12-13 18:51:00,13.02330000,13.05980000,13.01670000,13.05840000,7619.45000000,1607878319999,99341.55866100,155,5951.65000000,77594.67741900
2020-12-13 18:52:00,13.04120000,13.04700000,13.02620000,13.03480000,3579.88000000,1607878379999,46659.27607800,82,2463.93000000,32115.87703200
